,emoji,group,subgroup,name,qualified_status,edition,codepoint_readable,utf8_codepoint
0,😀,Smileys & Emotion,face-smiling,grinning face,fully-qualified,E1.0,1F600,\U0001f600
1,😃,Smileys & Emotion,face-smiling,grinning face with big eyes,fully-qualified,E0.6,1F603,\U0001f603
2,😄,Smileys & Emotion,face-smiling,grinning face with smiling eyes,fully-qualified,E0.6,1F604,\U0001f604
3,😁,Smileys & Emotion,face-smiling,beaming face with smiling eyes,fully-qualified,E0.6,1F601,\U0001f601
4,😆,Smileys & Emotion,face-smiling,grinning squinting face,fully-qualified,E0.6,1F606,\U0001f606
5,😅,Smileys & Emotion,face-smiling,grinning face with sweat,fully-qualified,E0.6,1F605,\U0001f605
6,🤣,Smileys & Emotion,face-smiling,rolling on the floor laughing,fully-qualified,E3.0,1F923,\U0001f923
7,😂,Smileys & Emotion,face-smiling,face with tears of joy,fully-qualified,E0.6,1F602,\U0001f602
8,🙂,Smileys & Emotion,face-smiling,slightly smiling face,fully-qualified,E1.0,1F642,\U0001f642
9,🙃,Smileys & Emotion,face-smiling,upside-down face,fully-qualified,E1.0,1F643,\U0001f643
10,😉,Smileys & Emotion,face-smiling,winking face,fully-qualified,E0.6,1F609,\U0001f609
11,😊,Smileys & Emotion,face-smiling,smiling face with smiling eyes,fully-qualified,E0.6,1F60A,\U0001f60a
12,😇,Smileys & Emotion,face-smiling,smiling face with halo,fully-qualified,E1.0,1F607,\U0001f607
13,🥰,Smileys & Emotion,face-affection,smiling face with hearts,fully-qualified,E11.0,1F970,\U0001f970
14,😍,Smileys & Emotion,face-affection,smiling face with heart-eyes,fully-qualified,E0.6,1F60D,\U0001f60d
15,🤩,Smileys & Emotion,face-affection,star-struck,fully-qualified,E5.0,1F929,\U0001f929
16,😘,Smileys & Emotion,face-affection,face blowing a kiss,fully-qualified,E0.6,1F618,\U0001f618
17,😗,Smileys & Emotion,face-affection,kissing face,fully-qualified,E1.0,1F617,\U0001f617
18,☺️,Smileys & Emotion,face-affection,smiling face,fully-qualified,E0.6,263A FE0F,\u263a\ufe0f
19,☺,Smileys & Emotion,face-affection,smiling face,unqualified,E0.6,263A,\u263a
20,😚,Smileys & Emotion,face-affection,kissing face with closed eyes,fully-qualified,E0.6,1F61A,\U0001f61a
21,😙,Smileys & Emotion,face-affection,kissing face with smiling eyes,fully-qualified,E1.0,1F619,\U0001f619
22,🥲,Smileys & Emotion,face-affection,smiling face with tear,fully-qualified,E13.0,1F972,\U0001f972
23,😋,Smileys & Emotion,face-tongue,face savoring food,fully-qualified,E0.6,1F60B,\U0001f60b
24,😛,Smileys & Emotion,face-tongue,face with tongue,fully-qualified,E1.0,1F61B,\U0001f61b
25,😜,Smileys & Emotion,face-tongue,winking face with tongue,fully-qualified,E0.6,1F61C,\U0001f61c
26,🤪,Smileys & Emotion,face-tongue,zany face,fully-qualified,E5.0,1F92A,\U0001f92a
27,😝,Smileys & Emotion,face-tongue,squinting face with tongue,fully-qualified,E0.6,1F61D,\U0001f61d
28,🤑,Smileys & Emotion,face-tongue,money-mouth face,fully-qualified,E1.0,1F911,\U0001f911
29,🤗,Smileys & Emotion,face-hand,hugging face,fully-qualified,E1.0,1F917,\U0001f917
30,🤭,Smileys & Emotion,face-hand,face with hand over mouth,fully-qualified,E5.0,1F92D,\U0001f92d
31,🤫,Smileys & Emotion,face-hand,shushing face,fully-qualified,E5.0,1F92B,\U0001f92b
32,🤔,Smileys & Emotion,face-hand,thinking face,fully-qualified,E1.0,1F914,\U0001f914
33,🤐,Smileys & Emotion,face-neutral-skeptical,zipper-mouth face,fully-qualified,E1.0,1F910,\U0001f910
34,🤨,Smileys & Emotion,face-neutral-skeptical,face with raised eyebrow,fully-qualified,E5.0,1F928,\U0001f928
35,😐,Smileys & Emotion,face-neutral-skeptical,neutral face,fully-qualified,E0.7,1F610,\U0001f610
36,😑,Smileys & Emotion,face-neutral-skeptical,expressionless face,fully-qualified,E1.0,1F611,\U0001f611
37,😶,Smileys & Emotion,face-neutral-skeptical,face without mouth,fully-qualified,E1.0,1F636,\U0001f636
38,😶‍🌫️,Smileys & Emotion,face-neutral-skeptical,face in clouds,fully-qualified,E13.1,1F636 200D 1F32B FE0F,\U0001f636\u200d\U0001f32b\ufe0f
